Wavelength (µm) raw,<125 µm (357) raw,Wavelength (µm) bin avg,<125 µm (357) bin avg,Wavelength (µm) cubic spline of bin avg,<125 µm (357) cubic spline of bin avg
1.9111,0.56729,,,,
1.9139,0.56745,,,,
1.9167,0.56742,,,,
1.9196,0.56752,,,,
1.9224,0.56775,,,,
1.9253,0.56794,,,,
1.9282,0.56819,,,,
1.931,0.5685,,,,
1.9339,0.56878,,,,
1.9368,0.56884,,,,
1.9397,0.56898,,,,
1.9426,0.5694,,,,
1.9455,0.56964,,,,
1.9484,0.56967,,,,
1.9514,0.56997,,,,
1.9543,0.57032,,,,
1.9573,0.57063,,,,
1.9602,0.57094,,,,
1.9632,0.5712,,,,
1.9662,0.57136,,,,
1.9692,0.57167,,,,
1.9722,0.57196,,,,
1.9752,0.57232,,,,
1.9782,0.57269,,,,
1.9812,0.57294,,,,
1.9843,0.57327,,,,
1.9873,0.57346,,,,
1.9903,0.57361,,,,
1.9934,0.57396,,,,
1.9965,0.57416,,,,
1.9996,0.57439,,,,
2.0027,0.57452,,,,
2.0058,0.57472,,,,
2.0089,0.57523,,,,
2.012,0.57555,,,,
2.0151,0.57582,,,,
2.0183,0.57613,,,,
2.0214,0.57636,,,,
2.0246,0.57673,,,,
2.0277,0.57707,,,,
2.0309,0.57723,,,,
2.0341,0.57744,,,,
2.0373,0.57772,,,,
2.0405,0.57779,,,,
2.0437,0.57807,,,,
2.0469,0.57849,,,,
2.0502,0.57884,,,,
2.0534,0.57889,,,,
2.0567,0.57892,,,,
2.06,0.57918,,,,
2.0632,0.57959,,,,
2.0665,0.57996,,,,
2.0698,0.58018,,,,
2.0731,0.58042,,,,
2.0765,0.58068,,,,
2.0798,0.58077,,,,
2.0831,0.58091,,,,
2.0865,0.58106,,,,
2.0899,0.58124,,,,
2.0932,0.58162,,,,
2.0966,0.58187,,,,
2.1,0.5819,,,,
2.1034,0.5821,,,,
2.1069,0.58248,,,,
2.1103,0.58282,,,,
2.1137,0.58293,,,,
2.1172,0.58309,,,,
2.1207,0.58349,,,,
2.1241,0.5837,,,,
2.1276,0.58369,,,,
2.1311,0.58398,,,,
2.1346,0.58437,,,,
2.1381,0.58457,,,,
2.1417,0.58469,,,,
2.1452,0.585,,,,
2.1488,0.58529,,,,
2.1524,0.5853,,,,
2.1559,0.5853,,,,
2.1595,0.58545,,,,
2.1631,0.58564,,,,
2.1668,0.5858,,,,
2.1704,0.58611,,,,
2.174,0.58632,,,,
2.1777,0.58657,,,,
2.1813,0.58683,,,,
2.185,0.58701,,,,
2.1887,0.58719,,,,
2.1924,0.58725,,,,
2.1961,0.58737,,,,
2.1999,0.58765,,,,
2.2036,0.5878,,,,
2.2074,0.58781,,,,
2.2111,0.58787,,,,
2.2149,0.58812,,,,
2.2187,0.5882,,,,
2.2225,0.58827,,,,
2.2263,0.58864,,,,
2.2302,0.58885,,,,
2.234,0.58903,,,,
2.2379,0.58926,,,,
2.2417,0.58942,,,,
2.2456,0.5897,,,,
2.2495,0.5897,,,,
2.2534,0.58972,,,,
2.2573,0.58981,,,,
2.2613,0.58985,,,,
2.2652,0.58997,,,,
2.2692,0.58995,,,,
2.2732,0.59011,,,,
2.2772,0.59025,,,,
2.2812,0.59023,,,,
2.2852,0.59037,,,,
2.2893,0.59056,,,,
2.2933,0.59075,,,,
2.2974,0.59098,,,,
2.3015,0.59106,,,,
2.3055,0.59124,,,,
2.3097,0.59147,,,,
2.3138,0.5918,,,,
2.3179,0.59218,,,,
2.3221,0.59241,,,,
2.3262,0.59263,,,,
2.3304,0.59289,,,,
2.3346,0.59321,,,,
2.3388,0.59359,,,,
2.3431,0.59392,,,,
2.3473,0.59424,,,,
2.3516,0.59453,,,,
2.3558,0.59478,,,,
2.3601,0.59504,,,,
2.3644,0.59526,,,,
2.3688,0.59552,,,,
2.3731,0.59569,,,,
2.3775,0.59584,,,,
2.3818,0.59615,,,,
2.3862,0.59648,,,,
2.3906,0.59671,,,,
2.395,0.59686,,,,
2.3995,0.59704,,,,
2.4039,0.59727,,,,
2.4084,0.59764,,,,
2.4129,0.59791,,,,
2.4174,0.59802,,,,
2.4219,0.59811,,,,
2.4264,0.59831,,,,
2.431,0.59844,,,,
2.4356,0.59841,,,,
2.4401,0.59836,,,,
2.4447,0.59835,,,,
2.4494,0.59837,,,,
2.454,0.59846,,,,
2.4587,0.59835,,,,
2.4633,0.59837,,,,
2.468,0.59862,,,,
2.4727,0.59873,,,,
2.4775,0.59885,,,,
2.4822,0.59877,,,,
2.487,0.59877,,,,
2.4918,0.59893,,,,
2.4966,0.59911,,,,
2.5014,0.59919,,,,
2.5062,0.5992,,,,
2.5111,0.59941,,,,
